cod;nome;período;de-homens-por-armas-de-fogo;de-jovens-homens;de-jovens-mulheres;de-jovens-por-armas-de-fogo;de-jovens;de-mulheres-por-armas-de-fogo;homens-nao-negros;homens-negros;homens;homicidios;mulheres-nao-negras;mulheres-negras;mulheres;nao-negros;negros;por-armas-de-fogo
28;SE;2002;817.0;307;16;247.0;323.0;14.0;61.0;362.0;519.0;556.0;7.0;22.0;37.0;68.0;384.0;402
28;SE;2003;797.0;247;12;200.0;259.0;18.0;54.0;262.0;435.0;469.0;8.0;16.0;34.0;62.0;278.0;339
28;SE;2004;937.0;220;14;167.0;234.0;14.0;43.0;255.0;424.0;454.0;6.0;15.0;29.0;49.0;270.0;301
28;SE;2005;885.0;238;11;185.0;249.0;12.0;69.0;323.0;459.0;487.0;4.0;22.0;28.0;73.0;345.0;318
28;SE;2006;913.0;316;18;243.0;334.0;15.0;76.0;384.0;545.0;585.0;9.0;22.0;40.0;85.0;406.0;403
28;SE;2007;936.0;282;12;211.0;294.0;19.0;66.0;350.0;488.0;522.0;9.0;21.0;34.0;75.0;371.0;348
28;SE;2008;1117.0;298;15;235.0;313.0;11.0;65.0;383.0;525.0;555.0;8.0;21.0;30.0;73.0;404.0;368
28;SE;2009;1183.0;311;13;244.0;324.0;16.0;65.0;454.0;617.0;653.0;9.0;21.0;36.0;74.0;475.0;451
28;SE;2010;1237.0;332;19;264.0;351.0;18.0;52.0;533.0;633.0;676.0;6.0;36.0;43.0;58.0;569.0;452
28;SE;2011;1446.0;343;28;292.0;371.0;30.0;49.0;621.0;671.0;731.0;9.0;50.0;60.0;58.0;671.0;523
28;SE;2012;1820.0;451;23;385.0;474.0;30.0;65.0;748.0;817.0;879.0;9.0;52.0;62.0;74.0;800.0;648
28;SE;2013;1994.0;494;26;430.0;520.0;30.0;76.0;829.0;908.0;965.0;8.0;48.0;56.0;84.0;877.0;732
28;SE;2014;1899.0;596;27;552.0;623.0;50.0;79.0;938.0;1023.0;1097.0;9.0;65.0;74.0;88.0;1003.0;898
28;SE;2015;2024.0;693;23;637.0;716.0;53.0;72.0;1157.0;1233.0;1303.0;5.0;64.0;70.0;77.0;1221.0;1108
28;SE;2016;2012.0;847;22;789.0;869.0;39.0;73.0;1330.0;1404.0;1465.0;5.0;54.0;60.0;78.0;1384.0;1259
28;SE;2017;1924.0;728;39;690.0;767.0;57.0;67.0;1168.0;1236.0;1313.0;12.0;64.0;77.0;79.0;1232.0;1106
28;SE;2018;1741.0;653;10;603.0;663.0;25.0;48.0;1045.0;1093.0;1133.0;6.0;34.0;40.0;54.0;1079.0;959
28;SE;2019;1390.0;537;19;477.0;556.0;28.0;36.0;884.0;920.0;973.0;3.0;50.0;53.0;39.0;934.0;771
28;SE;2020;1337.0;544;18;511.0;562.0;26.0;44.0;891.0;938.0;981.0;6.0;37.0;43.0;50.0;928.0;821
28;SE;2021;960.0;420;14;394.0;435.0;21.0;44.0;707.0;751.0;790.0;3.0;34.0;37.0;47.0;742.0;662
35;SP;1979;;1061;135;;;;;;;;;;;;;570
35;SP;1980;;1678;171;;;;;;;;;;;;;699
35;SP;1981;;2166;176;;;;;;;;;;;;;958
35;SP;1982;;2076;177;;;;;;;;;;;;;926
35;SP;1983;;2916;254;;;;;;;;;;;;;1317
35;SP;1984;;3789;274;;;;;;;;;;;;;1864
35;SP;1985;;3883;279;;;;;;;;;;;;;2010
35;SP;1986;;4070;277;;;;;;;;;;;;;2126
35;SP;1987;;4357;287;;;;;;;;;;;;;2379
35;SP;1988;;4048;277;;;;;;;;;;;;;2438
35;SP;1989;2668.0;5186;336;1821.0;5522.0;154.0;;;8508.0;9179.0;;;671.0;;;2822
35;SP;1990;2784.0;5300;340;1861.0;5640.0;185.0;;;8824.0;9503.0;;;679.0;;;2969
